,t,rel_power,abs_power,baz,slow
0,27.0,0.1070474720008573,31537.26360235724,270.0,3.0
1,27.2,0.12996315910955097,76785.45059265342,294.3764686166748,2.1079136604709405
2,27.4,0.11758393334857531,96744.93931743669,52.65065095535941,1.4340502083260547
3,27.6,0.11544795357219444,107790.48066515021,54.05788812861765,1.4821943192442752
4,27.8,0.11001592942093825,111024.42413544272,54.72757855140159,1.5065855435387663
5,28.0,0.11654317031941937,121710.15063271354,52.65065095535941,1.4340502083260547
6,28.2,0.11895607248473829,130154.71487559182,51.91122711902466,1.410319112825179
7,28.4,0.1144547176859755,130321.08073159009,51.91122711902466,1.410319112825179
8,28.6,0.10578701126019238,122715.81847171608,308.8533743403533,1.3868309197591464
9,28.8,0.10383186401351546,109650.90954450407,317.04540848888723,1.188696765369537
10,29.0,0.09969138929437744,77032.99952470219,325.40771131249005,1.0568348972285122
